City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Geraldton,AU,10/27/2021 1:57,-28.7667,114.6,62.13,82,75,17.27
70,Kenai,US,10/27/2021 2:02,60.5544,-151.2583,37.15,77,95,4.81
71,Port Hedland,AU,10/27/2021 1:58,-20.3167,118.5667,89.65,15,0,8.05
72,Severo-Kurilsk,RU,10/27/2021 1:59,50.6789,156.125,46.45,85,100,5.57
73,Avarua,CK,10/27/2021 1:59,-21.2078,-159.775,77.05,69,75,11.5
74,Mayor Pablo Lagerenza,PY,10/27/2021 2:02,-19.9309,-60.7718,72.54,46,0,5.84
75,New Norfolk,AU,10/27/2021 2:02,-42.7826,147.0587,69.71,39,0,1.99
76,Nantucket,US,10/27/2021 2:02,41.2835,-70.0995,58.14,93,100,43.87
77,Butaritari,KI,10/27/2021 2:02,3.0707,172.7902,82.72,73,15,10.29
78,La Ronge,CA,10/27/2021 1:58,55.1001,-105.2842,43.05,87,90,6.91
79,Broken Hill,AU,10/27/2021 1:58,-31.95,141.4333,83.91,10,18,14.97
80,Bangassou,CF,10/27/2021 2:02,4.7413,22.8184,70,99,100,0.76
81,Nikolskoye,RU,10/27/2021 2:02,59.7035,30.7861,45.88,94,100,8.75
82,Isiro,CD,10/27/2021 2:02,2.7739,27.616,65.19,99,100,1.97
83,Beringovskiy,RU,10/27/2021 2:02,63.05,179.3167,8.73,83,100,22.95
84,Namatanai,PG,10/27/2021 2:01,-3.6667,152.4333,83.62,72,51,6.13
85,Alvaraes,BR,10/27/2021 2:02,-3.2208,-64.8042,73.71,97,100,1.95
86,Trairi,BR,10/27/2021 2:02,-3.2778,-39.2689,79.95,73,21,12.08
87,Berlevag,NO,10/27/2021 2:02,70.8578,29.0864,33.76,58,100,19.66
88,Aksarayskiy,RU,10/27/2021 2:02,46.7924,48.0119,39.15,77,3,1.43
89,Umea,SE,10/27/2021 2:02,63.8284,20.2597,32.92,100,47,0
90,Albany,US,10/27/2021 2:02,42.6001,-73.9662,53.67,94,100,1.01
91,Hobart,AU,10/27/2021 1:59,-42.8794,147.3294,70.05,51,20,4
92,Ponta Do Sol,PT,10/27/2021 2:02,32.6667,-17.1,69.01,53,4,3.49
93,Haines Junction,CA,10/27/2021 2:02,60.7522,-137.5108,29.26,83,99,1.9
94,General Pico,AR,10/27/2021 2:02,-35.6566,-63.7568,72.3,28,5,7.96
95,Cortez,US,10/27/2021 2:02,37.3489,-108.5859,39.96,66,40,6.91
96,Ribeira Grande,PT,10/27/2021 2:02,38.5167,-28.7,69.87,90,100,22.35
97,Taoudenni,ML,10/27/2021 2:02,22.6783,-3.9836,86.5,18,81,7.54
98,Busselton,AU,10/27/2021 1:58,-33.65,115.3333,55.04,71,78,15.37
99,La Tuque,CA,10/27/2021 2:00,47.4334,-72.7824,41.2,81,100,5.93
100,Paka,MY,10/27/2021 2:02,4.6374,103.4368,83.25,76,41,1.86
101,Kavieng,PG,10/27/2021 2:02,-2.5744,150.7967,85.5,65,98,3.4
102,Maningrida,AU,10/27/2021 2:02,-12.0667,134.2667,92.14,52,33,11.56
103,Guerrero Negro,MX,10/27/2021 2:02,27.9769,-114.0611,66.2,70,0,15.12
104,Vostok,RU,10/27/2021 1:59,46.4856,135.8833,37.65,96,100,3.22
105,Yuli,NG,10/27/2021 2:02,9.6989,10.2744,76.01,89,97,2.13
106,Pangnirtung,CA,10/27/2021 2:02,66.1451,-65.7125,26.15,90,89,7.05
107,Katobu,ID,10/27/2021 2:02,-4.9408,122.5276,90.59,53,27,4.23
108,Sitka,US,10/27/2021 2:02,57.0531,-135.33,43.7,90,97,6.58
109,General Cepeda,MX,10/27/2021 2:00,25.3833,-101.45,73.2,44,0,3.51
110,Nanortalik,GL,10/27/2021 2:02,60.1432,-45.2371,35.53,64,82,3.67
111,Chuy,UY,10/27/2021 2:02,-33.6971,-53.4616,66.13,86,0,6.78
112,Constitucion,CL,10/27/2021 2:00,-35.3333,-72.4167,53.08,88,8,12.5
113,Abashiri,JP,10/27/2021 2:02,44.0213,144.2697,58.95,68,0,2.75
