City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
59,Thompson,CA,2021-10-31 01:07:11,55.7435,-97.8558,32.58,88,78,8.43,broken clouds
60,Geraldton,AU,2021-10-31 01:07:11,-28.7667,114.6,68.41,52,0,8.05,clear sky
61,Arraial Do Cabo,BR,2021-10-31 01:07:12,-22.9661,-42.0278,70.79,88,100,17.72,overcast clouds
62,Coahuayana,MX,2021-10-31 01:07:12,18.7333,-103.6833,78.04,86,6,2.06,clear sky
63,Souillac,MU,2021-10-31 01:07:13,-20.5167,57.5167,70.36,82,16,3.38,few clouds
64,Hilo,US,2021-10-31 01:07:13,19.7297,-155.09,82.13,74,1,10.36,clear sky
65,Dunedin,NZ,2021-10-31 01:07:13,-45.8742,170.5036,53.71,69,100,22.55,overcast clouds
66,Tasiilaq,GL,2021-10-31 01:07:14,65.6145,-37.6368,24.96,64,100,4.29,overcast clouds
67,Uvinza,TZ,2021-10-31 01:07:14,-5.1036,30.3911,68.97,78,96,1.95,overcast clouds
68,Rikitea,PF,2021-10-31 01:07:15,-23.1203,-134.9692,74.89,87,100,21.05,light rain
69,Victoria,HK,2021-10-31 01:07:16,22.2855,114.1577,77.38,83,96,1.01,overcast clouds
70,Redwater,US,2021-10-31 01:07:17,33.3582,-94.2544,59.32,66,0,4.72,clear sky
71,Port Alfred,ZA,2021-10-31 01:07:17,-33.5906,26.891,66.0,78,90,2.91,overcast clouds
72,Sitka,US,2021-10-31 01:07:18,57.0531,-135.33,46.29,66,75,10.36,broken clouds
73,Tura,IN,2021-10-31 01:07:18,25.5198,90.2201,63.05,66,0,2.46,clear sky
74,Katherine,AU,2021-10-31 01:07:19,-14.4667,132.2667,89.92,58,75,6.91,broken clouds
75,Jamestown,US,2021-10-31 01:06:41,42.097,-79.2353,51.39,98,90,0.0,mist
76,Khatanga,RU,2021-10-31 01:07:20,71.9667,102.5,3.76,96,100,0.87,overcast clouds
77,Srednekolymsk,RU,2021-10-31 01:07:21,67.45,153.6833,-1.34,94,100,7.16,overcast clouds
78,Stony Mountain,CA,2021-10-31 01:07:21,50.0864,-97.2196,40.08,66,7,9.4,clear sky
79,Hobart,AU,2021-10-31 01:06:32,-42.8794,147.3294,60.26,55,75,4.0,broken clouds
80,Bollnas,SE,2021-10-31 01:07:22,61.3482,16.3946,43.39,98,100,3.06,overcast clouds
81,Luanda,AO,2021-10-31 01:07:22,-8.8368,13.2343,75.67,77,100,7.74,overcast clouds
82,Sala,MA,2021-10-31 01:07:23,34.0389,-6.8166,63.64,100,20,0.0,few clouds
83,Monte Azul Paulista,BR,2021-10-31 01:07:23,-20.9072,-48.6414,70.18,82,100,7.45,moderate rain
84,Pochutla,MX,2021-10-31 01:07:23,15.7432,-96.4661,73.81,88,21,2.82,few clouds
85,Sistranda,NO,2021-10-31 01:07:24,63.7256,8.834,51.76,66,100,33.15,overcast clouds
86,Airai,TL,2021-10-31 01:07:24,-8.9266,125.4092,74.17,59,63,1.57,broken clouds
87,Huarmey,PE,2021-10-31 01:07:26,-10.0681,-78.1522,63.5,85,49,7.81,scattered clouds
88,Cidreira,BR,2021-10-31 01:07:26,-30.1811,-50.2056,67.86,88,97,21.79,overcast clouds
89,Danville,US,2021-10-31 01:06:19,36.586,-79.395,55.18,89,40,3.44,scattered clouds
90,Upernavik,GL,2021-10-31 01:07:27,72.7868,-56.1549,29.12,65,100,10.16,overcast clouds
91,Vaini,TO,2021-10-31 01:07:27,-21.2,-175.2,82.56,78,20,9.22,few clouds
92,Nakhon Phanom,TH,2021-10-31 01:07:27,17.3333,104.4167,76.06,78,19,5.48,few clouds
93,Qaanaaq,GL,2021-10-31 01:07:28,77.484,-69.3632,2.25,53,0,7.76,clear sky
94,Qasigiannguit,GL,2021-10-31 01:07:28,68.8193,-51.1922,35.85,81,100,13.91,light rain
95,Zarubino,RU,2021-10-31 01:07:29,42.63,131.0922,52.9,57,84,5.5,broken clouds
96,Provideniya,RU,2021-10-31 01:07:29,64.3833,-173.3,14.81,71,76,9.91,broken clouds
97,Renqiu,CN,2021-10-31 01:07:29,38.6989,116.0936,57.97,39,8,8.41,clear sky
98,Chokurdakh,RU,2021-10-31 01:07:30,70.6333,147.9167,1.27,97,99,6.58,overcast clouds
99,Georgetown,MY,2021-10-31 01:06:04,5.4112,100.3354,78.89,87,20,2.3,few clouds
100,Vaasa,FI,2021-10-31 01:07:31,63.096,21.6158,46.42,93,90,9.22,overcast clouds
101,Beringovskiy,RU,2021-10-31 01:07:31,63.05,179.3167,9.07,96,100,20.24,light snow
102,Santa Vitoria Do Palmar,BR,2021-10-31 01:07:32,-33.5189,-53.3681,65.23,88,0,11.21,clear sky
103,Grindavik,IS,2021-10-31 01:07:32,63.8424,-22.4338,41.47,87,0,17.27,clear sky
104,Naze,JP,2021-10-31 01:07:32,28.3667,129.4833,71.19,67,1,7.67,clear sky
105,Litovko,RU,2021-10-31 01:07:33,49.2361,135.1742,37.26,49,28,8.14,scattered clouds
106,Puerto Ayora,EC,2021-10-31 01:07:33,-0.7393,-90.3518,70.74,84,100,8.23,overcast clouds
107,Hermanus,ZA,2021-10-31 01:07:33,-34.4187,19.2345,59.9,89,39,8.52,scattered clouds
108,Saint-Pierre,RE,2021-10-31 01:07:34,-21.3393,55.4781,67.68,75,0,5.75,clear sky
109,Sereflikochisar,TR,2021-10-31 01:07:34,38.9393,33.5386,52.2,54,96,4.12,overcast clouds
110,Luderitz,NA,2021-10-31 01:07:35,-26.6481,15.1594,57.34,95,16,3.29,few clouds
111,Norman Wells,CA,2021-10-31 01:07:35,65.282,-126.8329,19.69,83,5,7.52,clear sky
112,La Sarre,CA,2021-10-31 01:07:36,48.8002,-79.1996,43.12,67,100,5.59,overcast clouds
113,Clovis,US,2021-10-31 01:03:50,36.8252,-119.7029,72.91,72,90,3.44,haze
114,Port Augusta,AU,2021-10-31 01:07:36,-32.5,137.7667,73.71,20,100,8.43,overcast clouds
115,Mancora,PE,2021-10-31 01:04:35,-4.1078,-81.0475,72.09,68,70,11.27,broken clouds
116,Valley City,US,2021-10-31 01:07:38,46.9233,-98.0032,43.79,75,40,8.05,scattered clouds
117,Santa Maria,BR,2021-10-31 01:06:45,-29.6842,-53.8069,69.93,80,100,4.88,overcast clouds
118,Kysyl-Syr,RU,2021-10-31 01:07:38,63.8986,122.7617,15.15,92,100,12.08,light snow
119,Atuona,PF,2021-10-31 01:07:39,-9.8,-139.0333,78.4,68,14,12.12,few clouds
120,Richards Bay,ZA,2021-10-31 01:07:39,-28.783,32.0377,61.41,84,4,7.2,clear sky
121,Lata,PT,2021-10-31 01:07:39,40.1629,-8.3327,67.93,98,100,10.51,overcast clouds
122,Sivaki,RU,2021-10-31 01:07:40,52.6333,126.75,28.22,35,1,3.8,clear sky
123,New Norfolk,AU,2021-10-31 01:07:40,-42.7826,147.0587,59.92,50,100,5.99,overcast clouds
124,Roald,NO,2021-10-31 01:07:40,62.5833,6.1333,55.45,62,75,11.5,broken clouds
125,Abu Dhabi,AE,2021-10-31 01:06:07,24.4667,54.3667,75.31,63,0,10.22,clear sky
126,Aklavik,CA,2021-10-31 01:07:41,68.2191,-135.0107,15.17,90,85,7.29,overcast clouds
127,Liku,ID,2021-10-31 01:07:42,-0.7275,119.8922,83.14,73,99,0.43,overcast clouds
128,Faanui,PF,2021-10-31 01:07:42,-16.4833,-151.75,78.44,68,24,15.39,few clouds
129,Saldanha,ZA,2021-10-31 01:07:42,-33.0117,17.9442,60.73,87,74,9.1,broken clouds
130,Rio Gallegos,AR,2021-10-31 01:07:43,-51.6226,-69.2181,48.25,49,0,10.36,clear sky
131,Florianopolis,BR,2021-10-31 01:07:43,-27.6146,-48.5012,69.42,93,90,1.01,overcast clouds
132,Mar Del Plata,AR,2021-10-31 01:07:43,-38.0023,-57.5575,57.09,89,75,5.01,broken clouds
133,Zhigansk,RU,2021-10-31 01:07:44,66.7697,123.3711,4.66,89,100,24.92,overcast clouds
134,Rajnagar,IN,2021-10-31 01:07:44,24.8833,79.9167,63.25,53,2,4.54,clear sky
135,Tuatapere,NZ,2021-10-31 01:07:44,-46.1333,167.6833,47.01,88,100,16.44,overcast clouds
136,Changying,CN,2021-10-31 01:07:45,52.8733,123.3213,27.03,34,23,4.03,few clouds
137,Sola,VU,2021-10-31 01:07:45,-13.8833,167.55,81.12,68,11,13.87,few clouds
138,Rafsanjan,IR,2021-10-31 01:07:46,30.4067,55.9939,58.86,30,1,4.23,clear sky
139,Andenes,NO,2021-10-31 01:03:10,69.3143,16.1194,42.78,93,100,13.8,overcast clouds
140,Albox,ES,2021-10-31 01:07:47,37.3886,-2.1495,70.18,66,91,9.42,overcast clouds
141,Kavieng,PG,2021-10-31 01:07:47,-2.5744,150.7967,84.31,73,56,13.09,light rain
142,Nyzhni Sirohozy,UA,2021-10-31 01:07:47,46.8484,34.3804,42.1,85,0,10.25,clear sky
143,Katobu,ID,2021-10-31 01:07:48,-4.9408,122.5276,84.29,71,96,3.65,overcast clouds
144,Klaksvik,FO,2021-10-31 01:07:48,62.2266,-6.589,43.72,91,100,10.96,overcast clouds
145,Faya,SA,2021-10-31 01:07:48,18.3851,42.4509,54.12,56,0,5.95,clear sky
146,Dwarka,IN,2021-10-31 01:07:49,22.2394,68.9678,78.6,49,27,5.84,scattered clouds
147,Saskylakh,RU,2021-10-31 01:07:49,71.9167,114.0833,12.31,93,100,11.5,overcast clouds
148,Ilhabela,BR,2021-10-31 01:07:50,-23.7781,-45.3581,69.53,92,94,12.26,overcast clouds
149,Prainha,BR,2021-10-31 01:07:50,-1.8,-53.48,76.93,79,42,3.13,scattered clouds
150,Narsaq,GL,2021-10-31 01:07:50,60.9167,-46.05,28.62,73,100,6.02,overcast clouds
151,Sao Joao Evangelista,BR,2021-10-31 01:07:51,-18.5478,-42.7633,66.11,94,99,6.4,overcast clouds
152,Brae,GB,2021-10-31 01:07:51,60.3964,-1.353,49.91,82,100,26.11,overcast clouds
153,Severo-Kurilsk,RU,2021-10-31 01:07:52,50.6789,156.125,42.26,81,58,15.28,broken clouds
154,Mahebourg,MU,2021-10-31 01:07:52,-20.4081,57.7,70.25,79,11,4.43,few clouds
155,Hithadhoo,MV,2021-10-31 01:07:52,-0.6,73.0833,82.74,76,100,20.74,overcast clouds
156,Taldan,RU,2021-10-31 01:07:53,53.6667,124.8,25.57,38,22,2.33,few clouds
157,Sechenovo,RU,2021-10-31 01:07:53,55.2244,45.8906,43.43,95,35,9.28,scattered clouds
158,Ewa Beach,US,2021-10-31 01:07:54,21.3156,-158.0072,83.57,61,40,8.01,scattered clouds
159,Ushtobe,KZ,2021-10-31 01:07:54,45.2514,77.9838,47.19,72,100,6.91,overcast clouds
160,Surt,LY,2021-10-31 01:07:55,31.2089,16.5887,71.64,67,100,14.2,overcast clouds
161,Gravdal,NO,2021-10-31 01:07:55,68.1214,13.5031,46.29,100,75,6.91,broken clouds
162,Boissevain,CA,2021-10-31 01:07:56,49.2306,-100.0559,36.1,51,100,13.58,overcast clouds
163,Sembakung,ID,2021-10-31 01:07:56,3.8167,117.25,84.13,74,83,2.26,broken clouds
164,Rantepao,ID,2021-10-31 01:05:39,-2.9701,119.8978,79.36,66,98,1.95,overcast clouds
165,San Quintin,MX,2021-10-31 01:07:57,30.4833,-115.95,64.18,83,9,9.37,clear sky
166,Bismil,TR,2021-10-31 01:07:58,37.8486,40.6658,59.11,89,98,4.65,overcast clouds
167,Djambala,CG,2021-10-31 01:07:59,-2.5447,14.7533,67.59,91,100,3.47,light rain
168,Kochi,IN,2021-10-31 01:07:59,9.9399,76.2602,76.98,90,80,5.06,broken clouds
169,Fort Nelson,CA,2021-10-31 01:04:34,58.8053,-122.7002,31.86,50,4,2.98,clear sky
170,Brody,UA,2021-10-31 01:08:00,50.0879,25.1503,45.54,70,0,14.18,clear sky
171,Leh,IN,2021-10-31 01:08:00,34.1667,77.5833,22.3,57,4,4.61,clear sky
172,Albany,US,2021-10-31 01:05:18,42.6001,-73.9662,56.62,93,100,2.24,overcast clouds
173,Kortkeros,RU,2021-10-31 01:08:01,61.8106,51.5806,32.0,95,100,3.94,overcast clouds
174,Saint George,US,2021-10-31 01:03:25,37.1041,-113.5841,72.95,37,1,4.0,clear sky
175,Pangnirtung,CA,2021-10-31 01:08:02,66.1451,-65.7125,32.14,99,100,10.33,snow
176,Altamira,BR,2021-10-31 01:08:02,-3.2033,-52.2064,75.49,82,20,1.63,few clouds
177,Suffolk,US,2021-10-31 01:08:03,40.8668,-72.7996,58.55,96,90,1.01,moderate rain
178,Bonavista,CA,2021-10-31 01:08:03,48.6499,-53.1147,38.12,63,0,1.74,clear sky
179,Nioki,CD,2021-10-31 01:08:04,-2.7167,17.6833,69.78,96,73,2.66,broken clouds
180,Zhumadian,CN,2021-10-31 01:08:05,32.9794,114.0294,65.32,51,100,2.46,overcast clouds
181,Odweyne,SO,2021-10-31 01:08:05,9.4092,45.064,69.21,65,6,7.65,clear sky
182,Leshukonskoye,RU,2021-10-31 01:08:07,64.8989,45.7622,33.51,99,100,5.97,snow
183,Saint-Philippe,RE,2021-10-31 01:08:07,-21.3585,55.7679,67.59,79,43,3.42,scattered clouds
184,Sal Rei,CV,2021-10-31 01:08:08,16.1833,-22.9167,77.56,79,100,15.52,overcast clouds
