City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
422,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
423,Quatre Cocos,MU,70.09,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
424,Axim,GH,78.62,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
425,San Juan,AR,78.57,overcast clouds,-31.5375,-68.5364,Hotel Provincial
426,Quibdo,CO,73.6,overcast clouds,5.6947,-76.6611,Hotel Angeles
427,Puerto Escondido,MX,80.17,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
429,Dingle,PH,82.06,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
430,Porto Novo,BJ,79.38,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
432,Langsa,ID,74.05,light rain,4.4683,97.9683,OYO 2964 Hotel Ridho
434,Maragogi,BR,77.29,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
435,Aden,YE,84.11,few clouds,12.7794,45.0367,Sama Emirate Hotel
436,Luganville,VU,84.42,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
437,Moerai,PF,73.09,overcast clouds,-22.4333,-151.3333,Le Manotel
441,Bandarbeyla,SO,78.44,light rain,9.4942,50.8122,JABIR HOTEL
442,Lake Elsinore,US,74.77,broken clouds,33.6681,-117.3273,"Holiday Inn Express & Suites Lake Elsinore, an IHG Hotel"
443,Nova Olimpia,BR,77.09,overcast clouds,-14.7972,-57.2881,Motel glamour
444,Kimbe,PG,90.73,light rain,-5.5502,150.1429,Kimbe Bay Hotel
451,Aswan,EG,81.39,overcast clouds,24.0934,32.907,Nuba Nile
454,Singaparna,ID,78.28,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
455,Poso,ID,84.88,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
459,Alofi,NU,76.87,overcast clouds,-19.0595,-169.9187,Taloa Heights
461,Ponta Delgada,PT,74.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
463,Fayaoue,NC,75.24,clear sky,-20.65,166.5333,Chez Dydyce Guesthouse
464,Catalao,BR,67.12,overcast clouds,-18.1658,-47.9464,Mara Turismo Hotel
465,Bilma,NE,78.37,few clouds,18.6853,12.9164,Expeditions Ténére voyages
467,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
468,Biak,ID,82.54,overcast clouds,-0.9131,122.8766,Penginapan Kim
471,Trat,TH,85.24,overcast clouds,12.5,102.5,สวนหนิง-อัศ
475,Maraba,BR,78.22,scattered clouds,-5.3686,-49.1178,Hotel Del Principe
476,Nouadhibou,MR,69.33,scattered clouds,20.931,-17.0347,El Medina
479,Zarate,AR,76.82,light rain,-34.0981,-59.0286,Departamento céntrico 2 ambientes 45 mt2 en Zárate
480,Sur,OM,79.66,clear sky,22.5667,59.5289,Sur Plaza Hotel
481,Lethem,GY,80.26,scattered clouds,3.3803,-59.7968,Savannah Inn
482,Mudon,MM,77.5,overcast clouds,16.2578,97.7164,Motel Mudon
488,Ixtapa,MX,75.92,few clouds,20.7,-105.2,Hotel Plaza Providencia
494,Cabo San Lucas,MX,81.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
495,Puerto Ayacucho,VE,77.36,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
499,San Blas,MX,78.48,clear sky,21.5167,-105.2667,Hotel Posada del Rey
500,Caraubas,BR,80.1,scattered clouds,-5.7925,-37.5567,Pousada Veículos
502,Todos Santos,MX,81.1,scattered clouds,23.45,-110.2167,Hotel California Todos Santos
504,Biloela,AU,88.61,few clouds,-24.4167,150.5,Biloela Silo Motor Inn
505,Buraydah,SA,71.01,clear sky,26.326,43.975,فندق راحة السلام
506,Bindura,ZW,73.02,broken clouds,-17.3019,31.3306,Mayfair Lodges and Restaurant
514,Yeppoon,AU,87.58,scattered clouds,-23.1333,150.7333,Villa Mar Colina
518,Khulna,BD,72.18,few clouds,22.8135,89.5672,Hotel Jalico
520,Itarema,BR,79.81,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
521,Sena Madureira,BR,79.11,few clouds,-9.0656,-68.6569,Hotel Central
524,Lafiagi,NG,76.12,scattered clouds,8.8667,5.4167,Bus group international
525,Chumphon,TH,73.13,overcast clouds,10.3333,98.8333,สกาน จ๋า.
526,Santa Cruz De Tenerife,ES,72.7,clear sky,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
530,Canavieiras,BR,73.51,overcast clouds,-15.675,-38.9472,Bahiadomizil
531,Abu Kamal,SY,71.76,broken clouds,34.4506,40.9171,محطة التلفاز
532,Martapura,ID,77.09,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
534,Ranong,TH,79.47,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
535,Kismayo,SO,78.12,clear sky,-0.3582,42.5454,Agan-Hotel
536,Samarai,PG,84.13,overcast clouds,-10.6167,150.6667,Nuli Sapi
537,Bundaberg,AU,85.21,broken clouds,-24.85,152.35,Takalvan Motel
545,Namatanai,PG,84.04,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
552,Pringsewu,ID,82.02,broken clouds,-5.3582,104.9744,Urban Style by Front One
554,Imbituba,BR,67.89,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
556,Boma,GH,71.15,broken clouds,7.0805,-2.1697,Obaatanpa Hotel
560,Ladario,BR,77.13,overcast clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
561,Am Timan,TD,76.62,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
562,Pasni,PK,79.43,clear sky,25.2631,63.471,Kashmiri Hotal
564,Kuala Terengganu,MY,79.97,overcast clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
565,Gladstone,AU,91.78,scattered clouds,-23.85,151.25,Highpoint International
571,Camacha,PT,69.22,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
576,Belmonte,BR,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
578,Nam Som,TH,78.1,overcast clouds,17.7704,102.1895,โรงแรมวุฒิโชค น้ำโสม ที่พักไกล้วัดป่าภูก้อน ราคา 500฿
579,Bacalar,MX,74.14,overcast clouds,18.6667,-88.3833,Hotel Laguna Bacalar
583,Mount Isa,AU,87.57,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
592,Mahibadhoo,MV,83.03,overcast clouds,3.7833,72.9667,Omadhoo Inn
593,Alta Floresta,BR,75.42,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
595,Voh,NC,83.43,clear sky,-20.9667,164.7,Le gîte du Koniambo
597,Mahajanga,MG,69.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
602,Rodrigues Alves,BR,77.29,scattered clouds,-7.738,-72.6509,Pousada Aconchego
605,Bowen,AU,82.83,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
609,Jalu,LY,67.21,clear sky,29.0331,21.5482,صاحبة الفخامة
611,Itacare,BR,74.57,overcast clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
616,Manakara,MG,68.85,broken clouds,-22.1333,48.0167,La Residence Manakara
622,Adzope,CI,72.36,scattered clouds,6.1069,-3.8619,Hôtel AKL
623,Kokoda,PG,90.28,overcast clouds,-8.8785,147.7407,Daito Guest House
629,Bocana De Paiwas,NI,74.46,overcast clouds,12.7857,-85.1227,Guapinol Cabaña Monge
633,Da Nang,VN,78.78,broken clouds,16.0678,108.2208,Sun River Hotel
635,Champerico,GT,84.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
641,Pitimbu,BR,79.39,few clouds,-7.4706,-34.8086,Reserva do Abiaí
642,Poum,NC,76.3,clear sky,-20.2333,164.0167,Gîte kajeon
646,Male,MV,82.24,broken clouds,4.1748,73.5089,Hotel Octave Maldives
649,Winslow,US,68.97,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
650,Kiunga,PG,89.17,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
657,Soe,ID,83.64,broken clouds,-9.8607,124.284,Dena Hotel
659,Rancho Palos Verdes,US,72.1,scattered clouds,33.7445,-118.387,Terranea Resort
660,Maldonado,UY,68.23,clear sky,-34.6667,-54.9167,La Cimarrona
661,Palembang,ID,78.89,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
662,Bonthe,SL,74.66,broken clouds,7.5264,-12.505,Bonthe Holiday Village
663,Eyl,SO,76.75,light rain,7.9803,49.8164,Amiin Hotel
667,Gawler,AU,70.83,clear sky,-34.6,138.7333,Eagle Foundry Bed & Breakfast
668,Tamiahua,MX,74.23,scattered clouds,21.2667,-97.45,Mission Of The Sun Hotel
669,Phan Thiet,VN,79.34,overcast clouds,10.9333,108.1,Hotel Saigon-PT
670,Grand Gaube,MU,70.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
671,Massaguet,TD,82.49,overcast clouds,12.4755,15.4365,Alwatane
673,Dakar,SN,79.68,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
674,Vila Franca Do Campo,PT,74.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
675,Xinan,CN,67.17,clear sky,26.72,119.8556,昌雄大酒店
676,Kingaroy,AU,79.92,clear sky,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
677,Mindelo,CV,76.55,scattered clouds,16.8901,-24.9804,Hotel Gaudi
678,Mercedes,AR,77.85,few clouds,-34.6515,-59.4307,Posada del Inti Centro
679,San Nicolas,PH,81.43,clear sky,18.1725,120.5953,NORTHVIEW Hotel
686,Zambezi,ZM,72.46,broken clouds,-13.5432,23.1047,Royal Kutachika Lodge
690,Kirakira,SB,87.31,few clouds,-10.4544,161.9205,SanBiz Lodge
692,Jacmel,HT,80.44,clear sky,18.2342,-72.5347,Historic Hotel Florita
695,Bentiu,SS,76.59,overcast clouds,9.2333,29.8333,Mandela hôtel
698,Black River,JM,79.99,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
702,Byron Bay,AU,68.11,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
703,Emerald,AU,86.34,broken clouds,-23.5333,148.1667,The Irish Village
705,Jaciara,BR,72.7,scattered clouds,-15.9653,-54.9683,Taba Hotel
706,Port Hedland,AU,80.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
707,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
714,Banda Aceh,ID,78.06,light rain,5.5577,95.3222,Sulthan Hotel International
717,Xapuri,BR,83.3,few clouds,-10.6517,-68.5044,Pousada dos Chapurys
718,Victor Harbor,AU,70.2,clear sky,-35.5667,138.6167,McCracken Country Club
721,Corpus Christi,US,72.97,clear sky,27.8006,-97.3964,"Holiday Inn Corpus Christi Downtown Marina, an IHG Hotel"
722,Matay,EG,78.48,overcast clouds,28.419,30.7792,Nag Aespen
727,Mpigi,UG,68.81,overcast clouds,0.225,32.3136,SINA Village
728,Laem Sing,TH,85.41,overcast clouds,12.4816,102.0738,Laemsing Whitehouse Resort
730,Villa Carlos Paz,AR,76.39,overcast clouds,-31.4241,-64.4978,Monte Carlo
733,Gizo,SB,85.14,overcast clouds,-8.103,156.8419,Imagination Island
740,Kwakoa,TZ,68.7,scattered clouds,-3.7667,37.7167,MJI Mwema Lodge
745,Brownsville,US,75.31,clear sky,25.9018,-97.4975,University Inn & Suites
747,Dhidhdhoo,MV,80.11,scattered clouds,6.8833,73.1,Dhidhoo beach
750,Jardinopolis,BR,69.22,overcast clouds,-21.0178,-47.7639,Jardin Park Hotel - Jardinópolis
752,Zhuhai,CN,77.11,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
753,Libreville,GA,74.71,heavy intensity rain,0.3925,9.4537,Le Méridien Re-Ndama
754,Villa Maria,AR,77.83,moderate rain,-32.4075,-63.2402,Hotel Milenium
756,Ahuimanu,US,83.34,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
760,Lekoni,GA,71.4,light rain,-1.5843,14.2591,Rendez-vous Des ChasseursD
765,Kokopo,PG,87.57,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
770,Flinders,AU,71.19,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
773,Nortelandia,BR,77.32,few clouds,-14.4547,-56.8028,Hotel Karysmã
775,Mae Sai,TH,73.44,broken clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
776,Remanso,BR,81.03,clear sky,-9.6179,-42.0831,Hotel Mangueira
783,Lorengau,PG,83.44,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
784,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
787,Marti,CU,72.25,light rain,22.9475,-80.9203,Hotel Bibanasí
788,Ulladulla,AU,68.88,clear sky,-35.35,150.4667,Sandpiper Motel
792,Tolaga Bay,NZ,68.22,overcast clouds,-38.3667,178.3,Tolaga Bay Motel
793,Ganzhou,CN,67.82,overcast clouds,28.8184,115.4327,Laotou Farm Restaurant Hostel
801,Villarrica,PY,69.37,broken clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
802,Xai-Xai,MZ,67.68,light rain,-25.0519,33.6442,Complexo da Familia
